SUBZONE_N,0 - 4 years,05-09 years,10-14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 - 89 years,90 & Over
SIMPANG NORTH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SIMPANG SOUTH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJONG IRAU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BOAT QUAY,-,-,-,-,-,10,-,10,10,10,10,10,10,10,10,10,10,-,-
CLARKE QUAY,10,10,10,-,10,10,10,10,10,20,10,10,-,-,-,-,-,-,10
ROBERTSON QUAY,200,240,180,120,100,110,170,330,390,360,250,180,120,90,80,50,30,10,10
SENTOSA,110,140,110,100,90,90,90,150,170,230,210,190,120,70,30,20,10,-,-
SOUTHERN GROUP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STRAITS VIEW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GALI BATU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KRANJI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PANG SUA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RESERVOIR VIEW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TURF CLUB,20,30,30,30,50,50,40,40,40,50,50,50,50,40,40,20,30,10,10
SIMEI,1360,1710,1960,2120,2660,3210,2540,2650,2850,2990,2950,3360,3190,2450,1660,720,560,290,220
TAMPINES EAST,5390,5400,5910,6680,9230,11060,9400,8850,8150,8350,9710,11350,11330,8630,5510,2570,1870,1040,580
TAMPINES NORTH,1150,530,260,240,200,1060,1620,730,440,290,300,240,260,250,220,80,80,70,40
TAMPINES WEST,3790,3780,3800,4150,5340,6340,6320,5820,5360,5320,5640,6390,6410,4930,3090,1420,970,540,270
XILIN,40,70,70,100,160,170,120,70,80,110,130,230,180,110,60,20,20,10,-
CHATSWORTH,340,440,410,310,270,290,420,610,720,780,600,420,350,310,280,170,90,50,30
NASSIM,500,810,630,540,440,430,480,680,860,940,710,620,540,470,400,200,140,80,70
RIDOUT,80,100,80,70,70,80,90,100,120,120,120,110,100,90,80,40,30,20,20
TYERSALL,160,240,250,190,210,210,220,230,300,360,330,290,260,220,160,110,80,50,30
BRICKLAND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FOREST HILL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GARDEN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PARK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PLANTATION,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TENGAH INDUSTRIAL ESTATE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BIDADARI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BOON TECK,580,570,570,660,770,1000,1080,860,780,1010,1030,1170,1190,980,830,600,530,290,180
BRADDELL,310,430,470,460,560,700,580,590,670,730,720,740,740,650,530,360,310,160,110
JOO SENG,360,370,410,340,390,550,700,650,640,660,550,560,530,480,400,220,180,100,70
KIM KEAT,200,240,300,310,440,630,520,440,510,580,560,640,780,600,510,300,230,120,60
LORONG 8 TOA PAYOH,140,200,240,310,410,500,380,370,430,530,550,610,620,530,480,350,280,160,80
PEI CHUN,260,370,450,530,560,600,520,560,700,850,890,870,870,660,610,440,350,180,90
POTONG PASIR,360,450,460,520,510,730,840,820,870,940,810,840,980,960,780,390,260,160,50
SENNETT,420,380,350,350,310,600,770,570,500,530,370,420,430,370,320,180,140,90,90
TOA PAYOH CENTRAL,1060,1430,1390,1300,1490,1800,1690,2000,2330,2350,2090,2030,1920,1510,1320,900,760,430,220
TOA PAYOH WEST,560,500,510,530,610,880,1130,960,950,1090,1000,1100,1090,950,910,610,580,270,140
WOODLEIGH,100,130,160,160,140,180,150,190,190,220,200,160,170,140,90,30,20,20,10
TENGEH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TUAS BAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TUAS NORTH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TUAS PROMENADE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TUAS VIEW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TUAS VIEW EXTENSION,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JURONG ISLAND AND BUKOM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEMAKAU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUDONG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BAHAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CLEANTECH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MURAI,30,50,20,20,130,50,30,60,70,40,30,50,50,10,-,-,-,-,-
GREENWOOD PARK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MIDVIEW,1590,1640,1870,2480,3460,3220,2480,2290,2100,2520,3270,2960,2100,1400,830,470,320,160,110
NORTH COAST,300,350,470,650,970,1000,700,640,700,850,1030,1210,1030,800,670,340,230,120,50
SENOKO WEST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WOODGROVE,980,1330,1740,2280,3320,3210,2060,1930,2170,2610,3300,3000,2350,1500,920,480,340,190,110
WOODLANDS EAST,4960,5280,6010,6880,8020,7660,7520,7270,7460,8490,8020,7510,5710,3680,2220,1030,720,380,170
WOODLANDS REGIONAL CENTRE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WOODLANDS SOUTH,2100,2620,2850,2990,3080,2630,2880,3420,3540,3590,3190,2600,2020,1510,1000,480,290,170,60
WOODLANDS WEST,1560,1320,1510,1830,2590,3010,2530,2170,1930,2250,2740,2920,2680,1940,1340,730,520,250,100
KHATIB,310,320,380,460,590,940,800,640,590,650,740,1010,1040,770,510,250,130,90,40
LOWER SELETAR,2220,1690,1160,940,770,1150,2740,2220,1490,1260,870,730,530,350,260,120,90,40,30
NEE SOON,30,50,50,60,50,50,50,40,60,90,80,90,60,50,40,30,10,10,10
NORTHLAND,910,1030,1350,1510,1910,2320,1990,1790,1920,1940,2100,2640,2480,1790,1140,540,370,180,100
SPRINGLEAF,130,170,250,300,320,410,250,180,260,310,290,370,350,290,240,120,80,30,20
YISHUN CENTRAL,100,120,150,130,170,220,200,210,230,220,190,210,170,150,80,50,30,20,10
YISHUN EAST,4270,4410,3270,2970,3300,4220,5420,6320,5050,4090,3850,4190,3440,2590,1670,730,510,250,120
YISHUN SOUTH,1930,1690,1920,2090,2500,3600,3720,2940,2810,3010,2890,3690,3250,2570,1740,830,580,320,170
YISHUN WEST,1780,1990,2440,2790,3410,3810,3590,3600,3810,4230,4330,4840,4500,3580,2320,1280,880,480,240
